	UPOS_parent	DEPREL_child	UPOS_child	direction	counts	surface_order_parent/child_forms	arabic_example	example_freq		Final	Nizar-Grammar	in paper		100.00%								
151	NOM	MOD	PNX-AB	C-P	4117	" ... Al<xwAn	" ... الإخوان	82		OK	OK		أفاد مصدر في الشرطة المصرية أمس أن قوى الأمن اعتقلت ثلاثة كوادر من جماعة " الإخوان المسلمين " في الإسكندرية ب+ تهمة " محاولة إعادة إحياء التنظيم المحظور " و+ إقامة " تجمعات غير مشروعة " .									
71	PROP	MOD	NOM	P-C	4095	AlDfp ... Algrbyp	الضفة ... الغربية	102		OK	OK		رام الله ( الضفة الغربية ) 15-9 ( إف ب ) - أكدت القيادة الفلسطينية اليوم الجمعة أن الجانب الأمريكي لم يتمكن من عقد جلسات تفاوضية بين الجانبين الفلسطيني و+ الإسرائيلي على الرغم من أن +ه تم نقل المفاوضات إلى نيويورك ل+ أن الجانب الإسرائيلي يتهرب من المفاوضات ب+ هدف تفويت الفرص و+ إضاعة الوقت .									
47	NOM	MOD	NOM	C-P	3875	h*A ... Al>mr	هذا ... الأمر	55		OK	OK		و+ قال اليوم الثلاثاء ل+ وكالة فرانس برس " هذا الأمر يشكل نجاحا ل+ المندوبين الصوماليين و+ ل+ الوسطاء الجيبوتيين " .									
22	VRB	OBJ	#NOM	P-C	3510	Eqd ... +h	عقد ... +ه	27		OK	OK		و+ قال شافيز في مؤتمر صحافي عقد +ه في الجزائر أن " مسألة توسيع أوبك ب+ انضمام دول أخرى إلى +ها , س+ تكون على جدول أعمال القمة المقبلة " .									
195	PRT	MOD	PNX-B	P-C	3089	>n ... ,	أن ... ,	769		OK	OK		و+ في 21 حزيران / يونيو , شدد وزير الدفاع الإسباني فيديريكو تريو على أن العقد الموقع في نهاية عام 1998 بين سانتا بربارة و+ منتجي الدبابة الألمانية , كروس مافييه و+ رينمينتال+ ل+ تصنيع الدبابة في إسبانيا و+ إنتاج 235 دبابة ليوبارد 2 خلال عشر سنوات , يتضمن بندا ل+ حماية التكنولوجيا الألمانية و+ يجب في " جميع الأحوال " أن تحترم +ه شركة " جنرال ديناميكس " الأميركية .									
248	PRT#	OBJ	PROP	P-C	2757	l+ ... <srA}yl	ل+ ... إسرائيل	52		OK	OK		و+ أضاف الشاب الذي قال أن +ه عنصر سابق من ميليشيا جيش لبنان الجنوبي الموالية ل+ إسرائيل " ما هي الجرائم التي اقترفت +ها نساء +نا و+ أطفال +نا ل+ يعيشوا حياة بائسة ك+ لاجئين من بلد إلى بلد . إن +نا نريد العودة إلى لبنان حتى و+ لو كانوا س+ يلقون ب +نا في السجن لكن +نا نريد ضمانات ل+ حياة +نا " .									
258	VRB	SBJ	PROP	P-C	2755	Elmt ... AlHyAp	علمت ... الحياة	43		OK	OK		44 . علمت " الحياة " من مصادر مطلعة إن رئيس الوزراء الإسرائيلي أرييل شارون س+ يوفد مبعوثا إلى عمان اليوم أو غدا , حاملا رسالة إلى العاهل الأردني الملك عبدالله تتضمن تراجعا , عن مواقف +ه السابقة تجاه المملكة .									
161	PROP	MOD	PNX-AB	P-C	2657	AlHyAp ... "	الحياة ... "	184		OK	OK		و+ في تصريح ل+ وكالة فرانس برس , قال هذا المصدر مؤكدا نبأ نشرت +ه صحيفة " الحياة " العربية أن وزيري الداخلية اليمني و+ السعودي س+ يبحثان في " الترتيبات المتعلقة ب+ الأوضاع على الحدود و+ التي اتفقت على +ها اللجان العسكرية و+ الفنية " .									
342	PROP	MOD	PRT#	P-C	2585	lbnAn ... w+	لبنان ... و+	111		OK	OK		و+ قد راحت العائلات الفلسطينية في لبنان و+ إسرائيل بعد انسحاب القوات الإسرائيلية من جنوب لبنان في 24 أيار / مايو الماضي تتوجه إلى جانبي الحدود ل+ كي تلتقي , لكن الجيش الإسرائيلي منع مثل هذه اللقاءات بعد وقوع عدد من الصدامات عند الأسلاك الشائكة على الحدود .									
309	PRT#	OBJ	PRT	P-C	2536	l+ ... >n	ل+ ... أن	479		OK	#N/A		و+ أضاف المسؤول " إن +هم ( الصينيون ) يريدون أن يصعبوا ل +نا الأمور ل+ أن +نا لا نسمح ل +هم ب+ التحدث إلى الباقين على قيد الحياة . و+ كان من المقرر أن نسافر يوم الاثنين و+ لكن الصينيين يؤخرون المعاملات " و+ أضاف " إن +ه أمر كلاسيكي يندرج في إطار المعاملة ب+ المثل " .									
172	VRB	MOD	PNX-AB	P-C	2449	qAl ... "	قال ... "	174		OK	OK		و+ عن الخدمات التي س+ يقدم +ها المركز الإعلامي قال الضاهر : " هناك أربعة مراكز إعلامية في ملاعب المدينة الرياضية و+ صيدا و+ طرابلس ب+ الإضافة إلى واحد في فندق كومودور , و+ س+ يحظى الصحافيون ب+ خدمات كبيرة و+ أيضا التلفزيونات و+ الإذاعات و+ هي ب+ حسب شروط الاتحاد الدولي " .									
346	PRT	MOD	PRT#	P-C	2442	>n ... w+	أن ... و+	968		OK	OK		و+ في 21 حزيران / يونيو , شدد وزير الدفاع الإسباني فيديريكو تريو على أن العقد الموقع في نهاية عام 1998 بين سانتا بربارة و+ منتجي الدبابة الألمانية , كروس مافييه و+ رينمينتال+ ل+ تصنيع الدبابة في إسبانيا و+ إنتاج 235 دبابة ليوبارد 2 خلال عشر سنوات , يتضمن بندا ل+ حماية التكنولوجيا الألمانية و+ يجب في " جميع الأحوال " أن تحترم +ه شركة " جنرال ديناميكس " الأميركية .									
103	VRB	PRD	NOM	P-C	2387	ykwn ... hnAk	يكون ... هناك	22		OK	OK		و+ ب+ التالي , لن يكون هناك مجال ل+ مناقشة المسائل السياسية التي كانت في صلب محادثات قمة كامب ديفيد في تموز / يوليو الماضي . و+ إضافة إلى ذلك , يجري باراك حاليا مفاوضات ل+ تشكيل حكومة طوارئ وطنية مع زعيم المعارضة أرييل شارون الذي أدت زيارة +ه الحرم القدسي في 28 أيول / سبتمبر الماضي إلى اندلاع أعمال العنف .									
51	NOM	SBJ	NOM	C-P	2364	h*A ... mA	هذا ... ما	58		OK	OK		و+ أوضح " بدأ الغيث في الأسابيع الأخيرة حيث رست في مرفأ بيروت بواخر سياحية ب+ أعداد كبيرة ك+ محطة قصيرة ل+ مدة 24 ساعة و+ هذا ما لم يكن متوقعا في السنوات الأخيرة و+ أعادت إلى الأذهان النشاط السياحي في السبعينات " .									
44	ROOT	---	NOM	P-C	2322	--- ... mA	--- ... ما	37		OK	OK											
314	VRB	OBJ	PRT	P-C	4554	qAl ... >n	قال ... أن	392		OK	#N/A		و+ قال المتحدث ب+ اسم السكك الحديد أكشاي كومار أن العربة لم تكن تقل سوى 70 شخصا ب+ سبب العيد الوطني و+ الخسائر كان يمكن أن تكون أكبر ب+ كثير في الأيام العادية .									
104	VRB	SBJ	NOM	C-P	2266	h*A ... yEny	هذا ... يعني	20		OK	OK		و+ قال جيمس ليون المحلل المستقل في " إنترناشونال كرايسيس غروب " إن +ها " ضربة قاسية " ل+ الجهود الدولية " ف+ هذا يعني أن +نا لم ننجز شيئا في خمس سنوات و+ بعد خمسة مليارات دولار من المساعدات " .									
192	PROP	MOD	PNX-B	P-C	2157	<f ... )	إف ... )	229		OK	OK		نيويورك ( الأمم المتحدة ) 15-7 ( إف ب ) - حذر الأمين العام ل+ الأمم المتحدة كوفي أنان اليوم السبت المتمردين السيراليونيين من اعتراض +هم عملية المنظمة الدولية ل+ إطلاق سراح جميع الجنود ألدولين ال 233 .									
323	VRB-PASS	MOD	PRT	P-C	1836	qtl ... fy	قتل ... في	56		OK	OK		و+ قبل عامين , قتل 1082 شخصا في أكبر انفجار ل+ أنبوب نفط خلال محاولات سحب النفط من +ه .									
160	PROP	MOD	PNX-AB	C-P	1808	" ... AlHyAp	" ... الحياة	186		OK	OK		و+ في تصريح ل+ وكالة فرانس برس , قال هذا المصدر مؤكدا نبأ نشرت +ه صحيفة " الحياة " العربية أن وزيري الداخلية اليمني و+ السعودي س+ يبحثان في " الترتيبات المتعلقة ب+ الأوضاع على الحدود و+ التي اتفقت على +ها اللجان العسكرية و+ الفنية " .									
30	NOM	IDF	#PRT	P-C	507	bEd ... +mA	بعد ... +ما	249		OK	#N/A		الصدمة الكبيرة التي كانت الشرارة التي فجرت الخلافات ب+ مجمل +ها تمثلت ب+ انضمان الأخوين حسن إلى الزمالك مقابل مليون جنيه مصري ( 300 ألف دولار ) ما شكل مفاجأة من العيار الثقيل . و+ اتخذ الشقيقان قرار +هما بعد +ما وجدا تجاهلا تاما من قبل إدارة الكرة في الأهلي التي لم تعر +هما اهتماما و+ لم تطرح على +هما تجديد عقدي +هما بعد انتهاء مدة +هما , كما أن +هما استرجعا شريط خلافات +هما مع تسوبيل و+ البطل في العامين الماضيين و+ العقوبات التي فرضت على +هما .									
230	PROP	MOD	PROP	P-C	1640	* ... *	ذ ... ذ	35		OK	OK		ذ ذ ذ									
171	VRB	MOD	PNX-AB	C-P	1629	" ... ymkn	" ... يمكن	36		OK	OK		إلا أن تشيلوبا أعلن اليوم أن " قوات الأمم المتحدة يمكن +ها أن تنتشر الآن " .									
400	VRB	MOD	VRB	P-C	1555	ktb ... yqwl	كتب ... يقول	16		OK	OK		كتب صلاح الدين الجورشي و+ هو كاتب و+ صحافي من تونس يقول : شعرة رقيقة تفصل معركة الولايات المتحدة ضد ما تصف +ه ب+ الإرهاب , عن الانزلاق في مواجهة ثقافية و+ سياسية مفتوحة مع المشاعر الدينية ل+ مئات الملايين من المسلمين . ليس مرد هذا التخوف إلى الاعتقاد ب+ أن بن لادن و+ من مع +ه يمثلون الإسلام , و+ إنما هو وليد مؤشرات عديدة دالة إلى أن الإدارة الأمريكية دخلت فعلا في حال نفسية جديدة جعلت +ها تفقد الحذر و+ تصاب ب+ عمى الألوان . ف+ بدل أن تدفع +ها أحداث 11 سبتمبر إلى مراجعة جدية ل+ نظرة +ها ل+ العالم و+ ل+ سياسات +ها الخارجية , ف+ إن +ها كشفت نية +ها إدارة مختلف الملفات الحساسة و+ الشائكة على الصعد الإقليمية و+ الدولية ب+ عقلية البوليس الذي يتصور أن +ه ب+ عصا +ه الغليظة يمكن أن يحقق الانضباط , و+ يقضي على كل نزوع نحو الاحتجاج و+ التميز و+ المطالبة ب+ الحقوق . و+ إذ بدت أمريكا خلال الأسابيع الأولى التي تلت ضربات نيويورك و+ واشنطن أشبه ب+ الثور الإسباني المجروح , ف+ إن +ها الآن بعد القضاء على حركة " طالبان " و+ تصفية معظم تنظيم " القاعدة " تحرك +ها نزعتان مدمرتان : الشعور ب+ الانفراد ب+ القوة , و+ الرغبة الجامحة في توسيع دائرة الثأر و+ الانتقام .									
49	NOM	OBJ	NOM	P-C	1354	mmvlA ... r}ys	ممثلا ... رئيس	14		OK	OK		تسلمت كلية الهندسة ( قسم الهندسة الميكانيكية و+ الطيران ) في جامعة البلمند أمس طائرة +ها الأولى من طراز " سيسنا 150 " في حفل أقيم في نادي الطيران اللبناني , في مطار بيروت الدولي , و+ حضر +ه عميد كلية الهندسة الدكتور ميشال نجار ممثلا رئيس الجامعة و+ أنيس سنو و+ ميشال عبود و+ ادغار+ شعيا من نادي الطيران اللبناني , و+ المدير العام ل+ مديرية الطيران المدني الدكتور حمدي شوق الذي كان استنادا في كلية الهندسة في جامعة البلمند , و+ مسؤولون في الجامعة و+ أساتذة .									
279	ROOT	---	PRT	P-C	1347	--- ... <n	--- ... إن	416		OK	OK											
53	NOM	TMZ	NOM	P-C	1344	20 ... EAmA	20 ... عاما	16		OK	OK		و+ لكن ثمة سؤال لا بد من طرح +ه : هل س+ يختفي الكتاب ? . ردا على هذا السؤال , توقع ديك براس أن " تزداد ندرة الورق " . أما الناشر جاك رومانوس ف+ قال أن " الجيل الراهن من القراء س+ يترك المكان خلال 20 عاما ل+ جيل الكتاب الإلكتروني " . لكن أحدا لا يجازف في التكهن ب+ سيناريو أكثر دقة .									
389	PRT	MOD	VRB	P-C	1314	<n ... ykwn	إن ... يكون	13		OK	OK		إذا صحت المعادلة التي أثار +ها الرئيس نبيه بري في جعل تحرير استيراد النفط و+ مشتقات +ه الرد الاستيعابي ل " تطييف " إلغاء الحماية عن الوكالات الحصرية , ف+ إن هذا الوجه ل+ أزمة هبت و+ اتسعت على نحو جنوني يكون أسوأ ما أصاب كل أطراف الأزمة .									
86	PRT	PRD	NOM	P-C	1309	>n ... gyr	أن ... غير	47		OK	OK		و+ أعلن المتحدث ب+ اسم البنتاغون الأميرال كريغ كويغلي أن الأمر جاء على " شكل طلب " تقدمت ب +ه روسيا إلى الحلف الأطلسي , و+ لكن +ه أضاف أن تفاصيل هذا الطلب " غير واضحة " .									
200	VRB	MOD	PNX-B	C-P	1306	, ... qAl	, ... قال	71		NO WAY	OK		من جهة +ه , قال وزير الخارجية الكويتي صباح الأحمد الصباح أن +نا نرفض هذه الاتهامات و+ لا يمكن +نا سرقة ما هو موجود فعليا على أراضي +نا .									
332	NOM	MOD	PRT#	C-P	1305	w+ ... Alty	و+ ... التي	101		OK	OK		إلى ذلك , س+ يشارك منتخب قطر في نهائيات كأس أسيا التي يستضيف +ها لبنان من 12 إلى 29 تشرين الأول / أكتوبر , ثم يخوض التصفيات التمهيدية المؤهلة ل+ نهائيات مونديال 2002 ضمن المجموعة الأسيوية الثالثة و+ التي س+ تقام ذهابا من 4 إلى 11 آذار / مارس المقبل في هونغ كونغ و+ إيابا من 20 إلى 25 من +ه في الدوحة .									
281	NOM	MOD	PRT	C-P	1225	lA ... symA	لا ... سيما	92		OK	OK		و+ أعرب البيان عن " قلق +ه " إزاء " النقص الخطير في موارد " اللجنة العسكرية المشتركة المكلفة مراقبة وقف إطلاق النار . كما دعا الأسرة الدولية إلى تأمين الأموال اللازمة لا سيما ل+ نقل عناصر اللجنة العسكرية .									
137	PROP	MOD	PNX-A	C-P	1223	( ... <f	( ... إف	229		OK	OK		نيويورك ( الأمم المتحدة ) 15-7 ( إف ب ) - حذر الأمين العام ل+ الأمم المتحدة كوفي أنان اليوم السبت المتمردين السيراليونيين من اعتراض +هم عملية المنظمة الدولية ل+ إطلاق سراح جميع الجنود ألدولين ال 233 .									
206	ROOT	---	PROP	P-C	1213	--- ... Alqds	--- ... القدس	44		OK	OK											
345	PRT	MOD	PRT#	C-P	1212	f+ ... <n	ف+ ... إن	281		OK	OK		و+ استنادا إلى مصدر دبلوماسي فلسطيني في هانوي ف+ إن عرفات س+ يزور كلا من كوالا لمبور و+ جاكرتا و+ طوكيو .									
352	PRT#	OBJ	PRT#	P-C	467	w+ ... l+	و+ ... ل+	231		OK	#N/A		و+ أضاف أرخيبوف أن المنافسة ل+ الفوز ب+ عقود الطيران العسكري الأوروبي قاسية , ل+ أن الولايات المتحدة تعرض طائرات +ها إف - 16 ب+ أسعار متدنية جدا و+ ل+ أن أوروبا تسعى إلى تطوير طائرات +ها المقاتلة " يوروفايتر " . لكن أي دولة ليست مستعدة ل+ التخلي ب+ الكامل عن طائرات الميغ الروسية .									
134	NOM	MOD	PNX-A	C-P	1177	( ... Al$wT	( ... الشوط	33		OK	OK		عمان 15-8 ( أ ف ب ) - فاز الأردن على الإمارات 35-33 بعد التمديد إثر انتهاء الوقت الأصلي ب+ التعادل 28-28 ( الشوط الأول 16-16 ) اليوم الثلاثاء في مباراة تحديد المركزين الخامس و+ السادس ضمن تصفيات مجموعة غرب آسيا ل+ كرة اليد التي تقام في الأردن و+ المؤهلة إلى نهائيات كأس العالم المقررة في فرنسا من 23 كانون الثاني / يناير إلى 4 شباط / فبراير المقبلين .									
110	VRB-PASS	MOD	NOM	P-C	1162	>jryt ... byn	أجريت ... بين	21		OK	OK		فازت الأوروغواي على كوريا الجنوبية 2-1 ( الشوط الأول 1-1 ) في مباراة دولية ودية في كرة القدم أجريت بين +هما مساء الأربعاء على ملعب " سنتيناريو " في مونتيفيديو في إطار استعداد الفريقين ل+ نهائيات كأس العالم ال 17 التي تستضيف +ها كوريا الجنوبية و+ اليابان من 1 أيار إلى 30 حزيران .									
99	VRB	MOD	NOM	C-P	1158	rdA ... qAl	ردا ... قال	18		OK	OK		و+ ردا على سؤال حول وضع عملية السلام قبل قمة شرم الشيخ قال ياتوم أن " السلام لم يدفن بعد " .									
420	NOM	MOD	VRB-PASS	P-C	1086	Alty ... >jryt	التي ... أجريت	32		OK	OK		و+ أوضحت هذه الدراسة التي أجريت لدى ثمانية آلاف امرأة و+ ثمانية آلاف رجل , أن نحو 25 % من النساء و 7 , 5 % من الرجال يتعرضون مرة واحدة في حياة +هم ل+ الاغتصاب أو الاعتداء الجسدي من قبل الزوج ( الحالي أو السابق ) أو الشريك الجنسي .									
203	VRB-PASS	MOD	PNX-B	P-C	1026	y*kr ... .	يذكر ... .	70		OK	OK		يذكر أن بيرسول البالغ من العمر 17 عاما هو أصغر سباح أميركي نزل تحت حاجز الدقيقتين في سباق 200 م ظهرا و+ ذلك عند +ما كان في الخامسة عشرة .									
