index	target_field	lex	catib_pos	mada_pos	parent_lex	parent_catib_pos	parent_mada_pos	rel	order	target_value_short	target_value_long	مثال	select	Selected Examples	ملاحظات واقتراحات	exact_matches
	REL	lawolA	PRT	conj_sub	*	VRB	*	MOD	*		شرط	^لولا اجتهدت لما *نجحت				5
56	REL	*	*	*	*	PRT	part_connect	OBJ	P-C	مرتبط	مرتبط	أُما السلطة *ف ^ليست مسالمة	X	أُما السلطة ف ليست مسالمة		4
57	REL	*	*	*	*	PRT	part_emphatic	OBJ	P-C	مؤكد	مؤكد	*لَ+ ^زيد مجتهد	X	لَزيد مجتهد	في النحو العربي هذه اللام (لام الابتداء) المؤكدة غير عاملة؛ لذلك لا يشار لعلاقتها النحوية مع الكلمة التي تقوم بتأكيدها	4
58	REL	*	*	*	*	PRT	part_focus	OBJ	P-C	مؤكد	مؤكد	*أما ^الطالب ف+ هو مقبول			في النحو العربي (أما) نوعان: وهذا النوع تسمى (حرف إخبار) ولا يجب تكرراها وهي غير جازمة؛ لذلك لا يشار لعلاقتها النحوية مع الكلمة التي ترتبط بها	4
59	REL	*	*	*	*	PRT	part_voc	OBJ	P-C	منادى	منادى	*يا ^محمد لا تتأخر	X	يا محمد لا تتأخر		4
60	REL	*	PRT	part_rc	*	*	*	MOD	C-P	جواب	حرف جواب	*إن ^تجتهد ^ف+ س+ *تنجح				4
61	REL	*	*	*	*	PRT	part_restrict	OBJ	P-C	مستثنى	مستثنى	حضر الطلاب *إلا ^محمدا	X	حضر الطلاب إلا محمدا		4
62	REL	*	*	*	*	PRT	part_conn	OBJ	P-C	مرتبط	مرتبط	أما السلطة *ف+ ^ليست مسالمة				4
63	REL	*	*	*	*	PRT	part_emph	OBJ	P-C	مؤكد	مؤكد	*لَ ^زيد مجتهد			في النحو العربي هذه اللام (لام التوكيد) غير عاملة؛ لذلك لا يشار لعلاقتها النحوية مع الكلمة التي تقوم بتأكيدها	4
64	REL	*	PRT	part_jus	*	VRB	verb	MOD	C-P	مجزوم	متعلق	يا طلاب: ^ل+ *تذهبوا إلى الصف!				6
68	REL	*	*	*	*	*	*	PRD	*	خبر	خبر	*كان الطالب ^مجتهدا	X	كان الطالب مجتهدا		1
69	REL	*	*	*	*	*	*	IDF	*	إضافة	إضافة	*باب ^الصف مغلق	X	باب الصف مغلق		1
70	REL	*	*	*	*	*	*	TMZ	*	تمييز	تمييز	اشترى الولد *عشرين ^كتابا	X	اشترى الولد عشرين كتابا		1
71	REL	*	PRT	*	*	*	*	MOD	*	متعلق	متعلق	سوف *يسافر العامل ^(شبه_جملة_جار_ومجرور) 				2
72	REL	*	PRT	*	*	*	*	MOD	*	متعلق	مفعول فيه	سوف *يسافر العامل ^في الصباح	X	سوف يسافر العامل في الصباح		2
73	REL	*	PRT	*	*	*	*	MOD	*	متعلق	مفعول فيه	سوف *يسافر العامل ^إلى بيروت	X	سوف يسافر العامل إلى بيروت		2
74	REL	*	PNX	*	*	*	*	MOD	*	ترقيم	ترقيم	ما *اسم +ك ^؟				2
75	REL	*	VRB	verb	*	NOM	pron_rel	MOD	*	جملة صلة	جملة صلة	عاقبت الطالب *الذي ^ضرب زميل +ه	X	عاقبت الطالب الذي ضرب زميله	يمكن استعمال "صلة" فقط	5
76	REL	*	VRB-PASS	verb	*	NOM	pron_rel	MOD	*	جملة صلة	جملة صلة	تعاطفت مع الطالب *الذي ^ضُرِب			يمكن استعمال "نعت" فقط	5
77	REL	*	VRB	verb	*	NOM	*	MOD	*	جملة صفة	جملة صفة	كافأت *عاملا ^أخلص في عمل +ه	X	كافأت عاملا أخلص في عمله		4
78	REL	*	VRB-PASS	verb	*	NOM	*	MOD	*	جملة صفة	جملة صفة	تعاطفت مع *عامل ^ظُلِم				4
79	REL	*	VRB	verb	*	PROP	*	MOD	*	جملة صفة	جملة حال	*جاء زيد ^يركب فرسا	X	جاء زيد يركب فرسا	بسبب أن الاسم العلم (زيد) معرفة، والقاعدة: "أن الجمل بعد المعارف أحوال وبعد النكرات صفات"؛ فلو غيرنا جملة (يركب) إلى اسم مفرد (راكبا) فإعرابه حال	4
80	REL	*	VRB-PASS	verb	*	PROP	*	MOD	*	جملة صفة	جملة حال	*شوهد زيد ^يركب فرسا			يمكن استعمال "حال" فقط	4
82	REL	*	FOREIGN	foreign	*	*	*	MOD	*	متعلق	متعلق	وقد عبر *الرئيس ^Trump عن ذلك	X	وقد عبر الرئيس Trump عن ذلك		3
82	REL	*	FOREIGN	foreign	*	*	*	MOD	*	متعلق	متعلق	وقد عبر *الرئيس ^习近平 عن ذلك				3
83	REL	*	NOM	adj	*	NOM	*	MOD	*	نعت	نعت	*الباب ^الكبير مغلق	X	الباب الكبير مغلق		4
84	REL	*	NOM	adj_comp	*	NOM	*	MOD	*	نعت	نعت	*الاختبار ^الأسهل هو اختبار القراءة	X	الاختبار الأسهل هو اختبار القراءة		4
85	REL	*	NOM	adj_num	*	NOM	*	MOD	*	نعت	نعت	*الساعة ^الثانية ينتهي العمل	X	الساعة الثانية ينتهي العمل		4
86	REL	*	PROP	noun_prop	*	NOM	*	MOD	*	بدل	بدل	جاء *الطالب ^محمد	X	جاء الطالب محمد		4
87	REL	*	NOM	pron_dem	*	NOM	*	MOD	*	بدل	بدل	^هذا *الكتاب ممتع	X	هذا الكتاب ممتع		4
88	REL	*	NOM	pron_dem	*	NOM	*	MOD	*	بدل	بدل	*الكتاب ^هذا ممتع				4
89	REL	*	NOM	pron_rel	*	NOM	*	MOD	*	بدل	بدل	الكتاب ^الذي تقرأ +ه ممتع				4
90	REL	*	NOM	noun	*	NOM	*	MOD	*	بدل	بدل	*زوج +ها ^العالم الشهير جاء 	X	زوجها العالم الشهير جاء 		4
91	REL	*	NOM	adv	*	*	*	MOD	*	ظرف	مفعول فيه	التعليم ^هنا *مجاني للجميع	X	التعليم هنا مجاني للجميع		3
92	REL	*	NOM	adv_interrog	*	*	*	MOD	*	ظرف	مفعول فيه	^أين *تُباع السيارات؟	X	أين تُباع السيارات؟		3
93	REL	*	NOM	adv_rel	*	*	*	MOD	*	ظرف	مفعول فيه	لا *أعلم ^متى ينتهي الدوام				3
94	REL	*	NOM	adj	*	VRB	*	MOD	*	حال	حال	*جاء الولد ^ماشيا	X	جاء الولد ماشيا		4
95	REL	*	NOM	adj	*	VRB-PASS	*	MOD	*	حال	حال	*شوهد القطار ^مسرعا	X	شوهد القطار مسرعا		4
96	REL	*	NOM	noun	*	VRB-PASS	*	MOD	*	متعلق	مفعول فيه	*كُتب الدرس ^اليوم	X	كُتب الدرس اليوم		4
97	REL	*	*	*	*	*	*	MOD	*	متعلق	مفعول فيه	*اذهب ^إلى المدرسة	X	اذهب إلى المدرسة		1
98	REL	*	NOM	noun	*	VRB	*	MOD	*	متعلق	مفعول فيه	*كتب الطالب الدرس ^اليوم				4
99	REL	*	NOM	noun	*	VRB	*	MOD	*		مفعول مطلق	*نام المريض ^نوما عميقا	X	نام المريض نوما عميقا	مفعول مطلق مبين للنوع	4
99	REL	*	NOM	noun	*	VRB	*	MOD	*		مفعول مطلق	*نام المريض ^يومين	X	نام المريض يومين	مفعول مطلق مبين للعدد	4
100	REL	*	NOM	noun	*	VRB	*	MOD	*		مفعول لأجله	*سافر الشاب ^طلبا للعلم	X	سافر الشاب طلبا للعلم		4
101	REL	*	*	*	*	*	*	---	*	---	---	*ليونيل ^ميسي لاعب مشهور	X	ليونيل ميسي لاعب مشهور		1
148	REL	*	PRT	part_jus	*	VRB	*	MOD	*	حرف	متعلق	^لم *يحضر الولد	X	لم يحضر الولد		4
102	REL	*	*	*	*	*	*	*	*	UNK	متعلق	<أسوأ الحالات>				0
																8
103	POS	*	FOREIGN	foreign	*	*	*	*	*	أجنبي	أجنبي	قرأت كتاب Harry *Potter*				2
105	POS	*	NOM	abbrev	*	*	*	*	*	اختصار	اختصار	قدم *د محمد محاضرة قيمة				2
106	POS	*	NOM	adj	*	*	*	*	*	صفة	صفة	قرأ الطالب كتابا *مفيدا				2
107	POS	*	NOM	adj_comp	*	*	*	*	*	صفة	صفة تفضيل	اختبار القراءة *أصعب من اختبار الاستماع				2
108	POS	*	NOM	adj_num	*	*	*	*	*	صفة	صفة عدد	الحصة *الثالثة حصة رياضة				2
109	POS	*	NOM	adv	*	*	*	*	*	ظرف	ظرف	التعليم *هنا مجاني ل+ الجميع				2
110	POS	*	NOM	adv_interrog	*	*	*	*	*	ظرف	اسم استفهام	*كيف كان اختبار+ ك؟				2
111	POS	*	NOM	adv_rel	*	*	*	*	*	ظرف	ظرف موصول	الطالب لا يعرف *أين* يذهب وقت الاستراحة				2
112	POS	*	NOM	digit	*	*	*	*	*	رقم	رقم	شارك في المعركة نحو *100* ألف مقاتل				2
113	POS	*	NOM	noun	*	*	*	*	*	اسم	اسم عام	حضر *معلم *المادة مبكرا *اليوم				2
114	POS	*	NOM	noun_num	*	*	*	*	*	اسم	اسم عدد	حضر *سبعة طلاب اليوم				2
115	POS	*	NOM	noun_quant	*	*	*	*	*	اسم	اسم كم	*جميع الطلاب حضروا				2
116	POS	*	NOM	pron	*	*	*	*	*	ضمير	ضمير	استلمت الطالبة جائزة *+ها				2
117	POS	*	NOM	pron_dem	*	*	*	*	*	ضمير	اسم إشارة	*هذا كتاب ممتع				2
118	POS	*	NOM	pron_exclam	*	*	*	*	*	ضمير	اسم تعجب	*ما أجمل الشتاء!				2
119	POS	*	NOM	pron_interrog	*	*	*	*	*	ضمير	كم استفهامية 	*كم طالبا في الصف؟				2
120	POS	*	NOM	pron_rel	*	*	*	*	*	ضمير	اسم موصول	اللاعب *الذي تدرب س+ يلعب				2
121	POS	*	NOM	verb_nom	*	*	*	*	*	فعل جامد	اسم فعل	اللهم عافنا واعف عنا *آمين				2
122	POS	*	PNX	punc	*	*	*	*	*	ترقيم	علامة ترقيم	ما اسم+ ك *؟*				2
124	POS	*	PROP	noun_prop	*	*	*	*	*	اسم	اسم علم	حضر *زيد*				2
125	POS	*	PROP	abbrev	*	*	*	*	*	اسم	اختصار	قدم *د* محمد محاضرة قيمة				2
127	POS	*	PRT	conj	*	*	*	*	*	حرف	حرف عطف	حضر زيد *و*+ خالد				2
128	POS	*	PRT	conj_sub	*	*	*	*	*	أداة	حرف ربط	جاء *ل*+ ينشر الخير				2
	POS	<i*A	PRT	conj_sub	*	*	*	*	*	أداة	حرف شرط					3
	POS	<i*o	PRT	conj_sub	*	*	*	*	*	أداة	حرف شرط					3
	POS	<ino	PRT	conj_sub	*	*	*	*	*	أداة	حرف شرط					3
	POS	lawo	PRT	conj_sub	*	*	*	*	*	أداة	حرف شرط					3
	POS	lawolA	PRT	conj_sub	*	*	*	*	*	أداة	حرف شرط					3
128	POS	*	PRT	prep	*	*	*	*	*	حرف	حرف جر	ذهب الطالب *إلى المدرسة				2
129	POS	*	NOM	interj	*	*	*	*	*	تعجب	تعجب	*نعم أو *لا؟ قرر الآن				2
130	POS	*	NOM	*	*	*	*	*	*	اسم	اسم عام	*اللاعب*				1
131	POS	*	PRT	part	*	*	*	*	*	أداة	أداة	*ل* ليس الأمر هكذا			يمكن تسميتها (أداة زائدة) والاستفادة من مثال على (كان) الزائدة التي تقع بين متلازمين، مثل: ما *كان* أجمل الشتاء!	2
132	POS	*	PRT	part_connect	*	*	*	*	*	حرف	حرف ربط	أما العهد السابق *ف* قد انتهى			اقترحنا سابقا استعمال مسمى (حرف جواب) تماشيا مع الاستعمال الشائع في النحو العربي، ولكن يظهر أن (حرف ربط) أكثر دقة	2
133	POS	*	PRT	part_det	*	*	*	*	*	أداة	أداة تعريف	حينما تذكر كلمة *ال* "طالب" فالمقصود طالب العلم				2
134	POS	*	PRT	part_emphatic	*	*	*	*	*	أداة	حرف توكيد	*ل*+ الصبرُ مفتاح الفرج				2
135	POS	*	PRT	part_focus	*	*	*	*	*	أداة	حرف توكيد	*أما* العهد السابق ف+ قد انتهى			في النحو العربي (أما) نوعان: وهذا النوع تسمى (حرف إخبار) و (حرف يتضمن معنى الشرط)	2
136	POS	*	PRT	part_fut	*	*	*	*	*	أداة	حرف استقبال	*سوف* نحضر الدرس				2
137	POS	*	PRT	part_interrog	*	*	*	*	*	أداة	حرف استفهام	*هل* حضر الطلاب؟				2
138	POS	*	PRT	part_neg	*	*	*	*	*	أداة	حرف نفي	*ما* قام خالد				2
139	POS	*	PRT	part_prog	*	*	*	*	*	أداة	حرف مضارعة	الواد ب+ يحب المدرسة قوي			استخدام في العامية فقط	2
140	POS	*	PRT	part_rc	*	*	*	*	*	جواب	حرف جواب	إن تجتهد *ف*+ سوف تنجح				2
141	POS	*	PRT	part_restrict	*	*	*	*	*	أداة	حرف استثناء	حضر الطلاب *إلا* محمدا				2
142	POS	*	PRT	part_verb	*	*	*	*	*	أداة	حرف لفعل	*قد* قام خالد				2
143	POS	*	PRT	part_voc	*	*	*	*	*	حرف	حرف نداء	*يا* محمد لا تتأخر				2
145	POS	*	PRT	verb_pseudo	*	*	*	*	*	حرف	حرف ناسخ	*إن* العلم نور				2
146	POS	*	PRT	part_conn	*	*	*	*	*	حرف	حرف ربط	أما العهد السابق *ف* قد انتهى			اقترحنا سابقا استعمال مسمى (حرف جواب) تماشيا مع الاستعمال الشائع في النحو العربي، ولكن يظهر أن (حرف ربط) أكثر دقة	2
147	POS	*	PRT	part_emph	*	*	*	*	*	أداة	حرف توكيد	*أما* العهد السابق فقد انتهى			في النحو العربي (أما) نوعان: وهذا النوع تسمى (حرف إخبار) و (حرف يتضمن معنى الشرط)	2
148	POS	*	PRT	part_jus	*	*	*	*	*	حرف	حرف جزم	*لم* يحضر الولد				2
150	POS	*	PRT	*	*	*	*	*	*	أداة	أداة	*مم* من الجيد أن تحضر مبكرا			يمكن تسميتها (أداة زائدة) والاستفادة من مثال على (كان) الزائدة التي تقع بين متلازمين، مثل: ما *كان* أجمل الشتاء!	1
151	POS	*	VRB	verb	*	*	*	*	*	فعل	فعل	*كتب الولد الدرس				2
152	POS	*	VRB-PASS	verb	*	*	*	*	*	فعل	فعل مبني للمجهول	*كُتب الدرس				2
155	POS	*	*	*	*	*	*	*	*	UNK	اسم عام	<أسوأ الحالات>				0
156	POS	kAn	VRB	verb	*	*	*	*	*	فعل	فعل ناسخ	*كان الولد مجتهدا				3
157	POS	>aSobaH	VRB	verb	*	*	*	*	*	فعل	فعل ناسخ	*أصبح الولد مجتهدا				3
158	POS	>aDoHaY	VRB	verb	*	*	*	*	*	فعل	فعل ناسخ	*أضحى الولد مجتهدا				3
159	POS	>amosaY	VRB	verb	*	*	*	*	*	فعل	فعل ناسخ	*أمسى ^الولد مجتهدا				3
160	POS	Zal~-a	VRB	verb	*	*	*	*	*	فعل	فعل ناسخ	*ظل ^الولد مجتهدا				3
161	POS	bAt	VRB	verb	*	*	*	*	*	فعل	فعل ناسخ	*بات ^الولد مجتهدا				3
162	POS	SAr	VRB	verb	*	*	*	*	*	فعل	فعل ناسخ	*صار ^الولد مجتهدا				3
163	POS	layosa	VRB	verb	*	*	*	*	*	فعل	فعل ناسخ	*ليس ^الولد مجتهدا				3
164	POS	zAl	VRB	verb	*	*	*	*	*	فعل	فعل ناسخ	ما *زال ^الولد مجتهدا				3
165	POS	mAdAm	VRB	verb	*	*	*	*	*	فعل	فعل ناسخ	*مادام ^الولد مجتهدا				3
